names_clean,names_raw,region_id,repo_id,date_num,vol_capacity_mean,vol_capacity_ste,sa_capacity,mean_x_pos,mean_y_pos
wMirzanagar_12152017_72_tt,w_Mirzanagar_12152017_72_tt,35,22522,737044,68.2075090193961,7.32553098657886,67,710430.463061615,2652012.36686769
wMirzanagar_12152017_73_b,w_Mirzanagar_12152017_73_b,35,22523,737044,415.387246123229,65.6712680106213,321,710424.202377364,2651981.70356455
wMirzanagar_12152017_74_tt,w_Mirzanagar_12152017_74_tt,35,22524,737044,544.830125800999,96.9187361566297,399,710413.807868091,2651981.94800455
wMirzanagar_12152017_75_n,w_Mirzanagar_12152017_75,35,22525,737044,29.4513840965668,1.7213380003204,35,710417.934997727,2652013.00596
wMirzanagar_12152017_76_n,w_Mirzanagar_12152017_76,35,22526,737044,21.4186217678493,0.98123779749485,27,710411.169399,2652013.74724364
wMirzanagar_12152017_77_n,w_Mirzanagar_12152017_77,35,22527,737044,23.9894644042678,1.06607453162817,30,710402.663753636,2652014.95165636
wMirzanagar_12152017_78_n,w_Mirzanagar_12152017_78,35,22528,737044,148.445451167031,24.7379616751112,130,710395.046100857,2652019.71503286
wMirzanagar_12152017_79_n,w_Mirzanagar_12152017_79,35,22529,737044,228.367078055577,37.6307378631112,199,710396.272543727,2651980.04305455
wMirzanagar_12152017_7_b,w_Mirzanagar_12152017_7_b,35,22457,737044,1366.12967052881,405.609367908274,735,710769.850664375,2651819.10234875
wMirzanagar_12152017_80_b,w_Mirzanagar_12152017_80_b,35,22530,737044,282.650682227137,35.7564958023476,241,710390.036351364,2651992.54664727
wMirzanagar_12152017_81_n,w_Mirzanagar_12152017_81,35,22531,737044,59.005516737531,4.18333941874532,64,710383.905260071,2652002.35267214
wMirzanagar_12152017_82_n,w_Mirzanagar_12152017_82,35,22532,737044,241.265162744208,27.7784850434226,210,710372.817627455,2651993.93715818
wMirzanagar_12152017_83_b,w_Mirzanagar_12152017_83_b,35,22533,737044,365.58054235351,67.0915302308144,301,710363.566003714,2651989.98313714
wMirzanagar_12152017_84_n,w_Mirzanagar_12152017_84,35,22534,737044,29.4277212711318,1.71683018661192,36,710378.033316111,2652019.70929111
wMirzanagar_12152017_85_n,w_Mirzanagar_12152017_85,35,22535,737044,37.304084302295,2.59210351699838,42,710367.895951273,2652019.60616909
wMirzanagar_12152017_86_n,w_Mirzanagar_12152017_86,35,22536,737044,127.086591453499,17.5427691143716,113,710356.192180154,2652020.41498692
wMirzanagar_12152017_87_b,w_Mirzanagar_12152017_87_b,35,22537,737044,785.964210379275,204.960608821449,497,710347.771020353,2651985.34738412
wMirzanagar_12152017_88_b,w_Mirzanagar_12152017_88_b,35,22538,737044,4267.40883407753,777.422400932714,1649,710331.969774308,2651974.66634308
wMirzanagar_12152017_89_n,w_Mirzanagar_12152017_89,35,22539,737044,36.8382281834991,2.75379169229591,42,710327.92213075,2652023.24145583
