names_clean,names_raw,region_id,rep_id,date_num
Bahirchar_01092017_17_b,Bahirchar_01092017_17_b,2,25724,736704
Bahirchar_01092017_18_b,Bahirchar_01092017_18_b,2,25725,736704
Bahirchar_01092017_19_b,Bahirchar_01092017_19_b,2,25726,736704
Bahirchar_01092017_1_n,Bahirchar_01092017_1,2,25708,736704
Bahirchar_01092017_20_b,Bahirchar_01092017_20_b,2,25727,736704
Bahirchar_01092017_21_n,Bahirchar_01092017_21,2,25728,736704
Bahirchar_01092017_22_b,Bahirchar_01092017_22_b,2,25729,736704
Bahirchar_01092017_23_b,Bahirchar_01092017_23_b,2,25730,736704
Bahirchar_01092017_24_b,Bahirchar_01092017_24_b,2,25731,736704
Bahirchar_01092017_25_b,Bahirchar_01092017_25_b,2,25732,736704
Bahirchar_01092017_26_n,Bahirchar_01092017_26,2,25733,736704
Bahirchar_01092017_27_b,Bahirchar_01092017_27_b,2,25734,736704
Bahirchar_01092017_28_n,Bahirchar_01092017_28,2,25735,736704
Bahirchar_01092017_29_b,Bahirchar_01092017_29_b,2,25736,736704
Bahirchar_01092017_2_n,Bahirchar_01092017_2,2,25709,736704
Bahirchar_01092017_30_b,Bahirchar_01092017_30_b,2,25737,736704
Bahirchar_01092017_31_b,Bahirchar_01092017_31_b,2,25738,736704
Bahirchar_01092017_3_n,Bahirchar_01092017_3,2,25710,736704
Bahirchar_01092017_4_n,Bahirchar_01092017_4,2,25711,736704
Bahirchar_01092017_5_b,Bahirchar_01092017_5_b,2,25712,736704
Bahirchar_01092017_6_b,Bahirchar_01092017_6_b,2,25713,736704
Bahirchar_01092017_7_b,Bahirchar_01092017_7_b,2,25714,736704
Bahirchar_01092017_8_n,Bahirchar_01092017_8,2,25715,736704
Bahirchar_01092017_9_n,Bahirchar_01092017_9,2,25716,736704
Bahirchar_01092018_10_b,Bahirchar_01092018_10_b,2,25841,737069
Bahirchar_01092018_11_b,Bahirchar_01092018_11_b,2,25842,737069
