region_name,region_id,repo_rank_vec,primary_sample_flag,date_1,date_2,repo_name_raw,repo_name_clean,mean_x_pos,mean_y_pos,mean_pca_pos,date_1_num
Bahirchar,2,18,0,11092015,11232015,Bahirchar_11092015_22,Bahirchar_11092015_22_n,706161.564825417,706161.564825417,-2779.58618346792,736277
Bahirchar,2,19,0,11092015,11232015,Bahirchar_11092015_7,Bahirchar_11092015_7_n,705990.2808254,705990.2808254,-3105.11313592264,736277
Bahirchar,2,20,0,11092015,11232015,Bahirchar_11092015_17_b,Bahirchar_11092015_17_b,706149.2932336,706149.2932336,-2869.82922068748,736277
Bahirchar,2,21,0,11092015,11232015,Bahirchar_11092015_23,Bahirchar_11092015_23_n,706160.569470429,706160.569470429,-2785.21515331972,736277
Bahirchar,2,22,0,11092015,11232015,Bahirchar_11092015_27,Bahirchar_11092015_27_n,706157.332090889,706157.332090889,-2777.43960016293,736277
Bahirchar,2,23,0,11092015,11232015,Bahirchar_11092015_4,Bahirchar_11092015_4_n,706025.978947333,706025.978947333,-3070.536543954,736277
Bahirchar,2,24,0,11092015,11232015,Bahirchar_11092015_25,Bahirchar_11092015_25_n,706185.378768333,706185.378768333,-2766.75452471445,736277
Bahirchar,2,25,0,11092015,11232015,Bahirchar_11092015_6,Bahirchar_11092015_6_n,706013.511859231,706013.511859231,-3108.09974276016,736277
Bahirchar,2,26,0,11092015,11232015,Bahirchar_11092015_24,Bahirchar_11092015_24_n,706151.509963667,706151.509963667,-2788.80644656932,736277
Bahirchar,2,27,0,11092015,11232015,Bahirchar_11092015_2,Bahirchar_11092015_2_n,706077.341374,706077.341374,-2988.82946837626,736277
Bahirchar,2,1,1,11232015,12082015,Bahirchar_11232015_13_b,Bahirchar_11232015_13_b,706135.290108428,706135.290108428,-2790.355630304,736291
Bahirchar,2,2,1,11232015,12082015,Bahirchar_11232015_19_b,Bahirchar_11232015_19_b,705982.462036167,705982.462036167,-3184.2984517701,736291
Bahirchar,2,3,1,11232015,12082015,Bahirchar_11232015_23,Bahirchar_11232015_23_n,706102.619198111,706102.619198111,-2844.58415018688,736291
Bahirchar,2,4,1,11232015,12082015,Bahirchar_11232015_8_tt,Bahirchar_11232015_8_tt,706005.007558667,706005.007558667,-3115.45839936291,736291
Bahirchar,2,5,1,11232015,12082015,Bahirchar_11232015_16_b,Bahirchar_11232015_16_b,706016.170376118,706016.170376118,-3108.35618655146,736291
Bahirchar,2,6,1,11232015,12082015,Bahirchar_11232015_6,Bahirchar_11232015_6_n,706025.207043615,706025.207043615,-3069.7357112588,736291
Bahirchar,2,7,1,11232015,12082015,Bahirchar_11232015_29_b,Bahirchar_11232015_29_b,706112.040587909,706112.040587909,-2910.70127069733,736291
Bahirchar,2,8,1,11232015,12082015,Bahirchar_11232015_14,Bahirchar_11232015_14_n,705999.408935833,705999.408935833,-3109.89909953408,736291
Bahirchar,2,9,1,11232015,12082015,Bahirchar_11232015_9,Bahirchar_11232015_9_n,706001.1887481,706001.1887481,-3132.60873104181,736291
Bahirchar,2,10,1,11232015,12082015,Bahirchar_11232015_28_b,Bahirchar_11232015_28_b,706107.774234,706107.774234,-2910.95235202054,736291
