ORIG_FID,repose_angle,vol_est,vol_ste
225,35,41.1759872165071,2.57380980918287
226,35,192.86682016847,21.6773767032416
227,35,235.837107367636,38.0797475868375
228,35,58.8549821225614,3.69333980325966
229,35,286.913174490726,45.5659329787508
230,35,75.76906046261,8.1099734270425
231,35,70.0777999550921,7.59863804335411
232,35,138.447071454604,17.2952538554351
233,35,93.2689242323645,10.4862445789247
234,35,226.07580119182,33.2380773816053
235,35,183.13996908988,33.5320031833802
236,35,117.583877080766,17.1577063391459
237,35,101.006417407519,10.6949771549756
238,35,91.5960645946123,10.1131674745312
239,35,198.949485567588,30.7852908443587
240,35,87.5319922419016,9.75516142758694
241,35,112.760519569382,12.9585370097093
242,35,114.84458609405,14.898882599373
243,35,348.425691943422,74.4040989462682
244,35,477.868533902555,113.992213678826
245,35,309.39502719175,61.1292722939812
246,35,55.505496572408,3.48002532910707
247,35,152.171049646843,19.9839030569664
248,35,445.069697840198,95.2128208791007
249,35,256.886383361559,35.7082842015866
250,35,345.70283023936,66.6494101621518
251,35,153.999627824007,25.7135472760093
252,35,890.512376483653,186.411623614526
253,35,260.746715186386,55.2038056893576
254,35,123.283227277362,15.2469936642412
255,35,98.612088626915,11.9673272465104
256,35,142.938069289167,22.4779604969991
257,35,77.1970130219458,7.39972652208443
258,35,88.1760968609102,9.08509264193368
259,35,119.482178043056,14.6069552550555
260,35,69.7400069527018,5.58358735263228
261,35,55.6760202092285,4.6171419001604
262,35,132.452586980959,19.1054787914051
263,35,42.6759050294578,2.85001110195693
264,35,141.672629847151,21.2510347021092
265,35,143.479454014422,22.5609980275424
266,35,36.7097020624079,2.24667623851522
267,35,57.3789382727637,5.0524640849223
268,35,49.6871168908587,3.50798647351913
269,35,112.206262534474,12.7011955957295
270,35,53.6960182435719,4.03902860868257
271,35,124.654549216004,11.8832941347384
272,35,105.193497377435,11.1432014896219
