FID,Id,name,area,ORIG_FID,POINT_X,POINT_Y
17555,0,f19_160226,1174,143,-576442.092433999990000,-691551.588049000010000
17556,0,f19_160226,1174,143,-576442.768950999950000,-691551.071144000050000
17557,0,f19_160226,1174,143,-576443.466079000030000,-691549.650135000000000
17558,0,f19_160226,1174,143,-576444.239989000020000,-691548.503671000010000
17559,0,f19_160226,1174,143,-576444.358178999970000,-691546.969883000010000
17560,0,f19_160226,1174,143,-576444.727506999970000,-691545.355381999980000
17561,0,f19_160226,1174,143,-576444.922472000010000,-691544.096021999950000
17562,0,f19_160226,1174,143,-576444.866314999990000,-691542.917605999970000
17563,0,f19_160226,1174,143,-576444.984505999950000,-691541.383816999970000
17564,0,f19_160226,1174,143,-576445.277057999980000,-691539.494885999940000
17565,0,f19_160226,1174,143,-576445.297667999980000,-691538.590782999990000
17566,0,f19_160226,1174,143,-576445.590212999960000,-691536.701737000020000
17567,0,f19_160226,1174,143,-576446.036216999990000,-691535.361671000020000
17568,0,f19_160226,1174,143,-576446.405536000030000,-691533.747054000040000
17569,0,f19_160226,1174,143,-576446.774764999980000,-691532.132558000040000
17570,0,f19_160226,1174,143,-576446.718697999950000,-691530.954019000060000
17571,0,f19_160226,1174,143,-576446.913670000040000,-691529.694774999980000
17572,0,f19_160226,1174,143,-576447.206115999960000,-691527.805734000050000
17573,0,f19_160226,1174,143,-576447.150055999980000,-691526.627311000020000
17574,0,f19_160226,1174,143,-576447.247538000000000,-691525.997630000000000
17575,0,f19_160226,1174,143,-576447.442503000030000,-691524.738268999960000
17576,0,f19_160226,1174,143,-576447.058537999980000,-691523.366244000030000
17577,0,f19_160226,1174,143,-576446.520921000050000,-691521.445251000000000
17578,0,f19_160226,1174,143,-576446.136949999960000,-691520.073108999990000
17579,0,f19_160226,1174,143,-576445.153336000050000,-691519.492298000030000
17580,0,f19_160226,1174,143,-576443.744336999950000,-691519.347564999950000
17581,0,f19_160226,1174,143,-576442.335337999980000,-691519.202831999980000
17582,0,f19_160226,1174,143,-576440.675210000020000,-691519.138925999990000
17583,0,f19_160226,1174,143,-576439.768371999960000,-691518.832543000000000
17584,0,f19_160226,1174,143,-576438.108333999990000,-691518.768515000000000
17585,0,f19_160226,1174,143,-576436.950366999950000,-691518.542959999990000
17586,0,f19_160226,1174,143,-576435.367111000000000,-691518.753477000050000
17587,0,f19_160226,1174,143,-576433.532719000010000,-691519.044705000010000
17588,0,f19_160226,1174,143,-576431.872591000050000,-691518.980797000000000
17589,0,f19_160226,1174,143,-576431.119398999960000,-691519.223267000050000
17590,0,f19_160226,1174,143,-576430.366109000050000,-691519.465743000040000
17591,0,f19_160226,1174,143,-576428.531716999950000,-691519.756969999990000
17592,0,f19_160226,1174,143,-576427.624879000010000,-691519.450585999990000
17593,0,f19_160226,1174,143,-576425.887976999980000,-691519.112247999990000
17594,0,f19_160226,1174,143,-576423.976817999970000,-691519.129160000010000
17595,0,f19_160226,1174,143,-576422.219199000040000,-691519.694815000050000
17596,0,f19_160226,1174,143,-576421.968166999980000,-691519.775636999980000
17597,0,f25_160226,271,144,-576467.652843000020000,-691400.372003000000000
17598,0,f25_160226,271,144,-576466.627824999970000,-691401.599303000020000
17599,0,f25_160226,271,144,-576465.853932000000000,-691402.745774999960000
17600,0,f25_160226,271,144,-576465.658975000030000,-691404.005142000040000
17601,0,f25_160226,271,144,-576465.966074000000000,-691405.102863000010000
17602,0,f25_160226,271,144,-576467.026550999960000,-691405.958100000050000
17603,0,f25_160226,271,144,-576468.184505000010000,-691406.183653000040000
17604,0,f25_160226,271,144,-576469.342363000030000,-691406.409211999970000
17605,0,f25_160226,271,144,-576470.597796999970000,-691406.005081000040000
17606,0,f25_160226,271,144,-576471.853236999940000,-691405.601065999940000
17607,0,f25_160226,271,144,-576473.185444999950000,-691405.471366000010000
17608,0,f25_160226,271,144,-576474.691913999970000,-691404.986527999980000
17609,0,f25_160226,271,144,-576476.449501000000000,-691404.420745000010000
17610,0,f25_160226,271,144,-576477.704843000040000,-691404.016734999950000
17611,0,f25_160226,271,144,-576478.960275999970000,-691403.612603000020000
17612,0,f25_160226,271,144,-576480.466833999960000,-691403.127641999980000
17613,0,f25_160226,271,144,-576482.224330000000000,-691402.561980000000000
17614,0,f25_160226,271,144,-576483.208032000000000,-691403.142785000030000
17615,0,f25_160226,271,144,-576484.268413000040000,-691403.998024999980000
17616,0,f25_160226,271,144,-576485.328891000010000,-691404.853260000000000
17617,0,f25_160226,271,144,-576485.887117999960000,-691405.870151999990000
17618,0,f25_160226,271,144,-576486.850022000030000,-691407.355075999980000
17619,0,f25_160226,271,144,-576487.736240000000000,-691408.565447999980000
17620,0,f25_160226,271,144,-576488.294467999950000,-691409.582339999960000
17621,0,f25_160226,271,144,-576488.929569000030000,-691410.873656000010000
17622,0,f25_160226,271,144,-576489.236767999940000,-691411.971371000050000
17623,0,f25_160226,271,144,-576489.543863000000000,-691413.068975999950000
17624,0,f25_160226,271,144,-576489.851063000040000,-691414.166690999990000
17625,0,f25_160226,271,144,-576490.311911000060000,-691415.813259999970000
17626,0,f25_160226,271,144,-576490.695885999940000,-691417.185405000000000
17627,0,f25_160226,271,144,-576490.828728999940000,-691418.638262999940000
17628,0,f25_160226,271,144,-576491.038452000010000,-691420.365661000020000
17629,0,f25_160226,271,144,-576491.094519000030000,-691421.544087999970000
17630,0,f25_160226,271,144,-576491.227466000010000,-691422.997056000050000
17631,0,f25_160226,271,144,-576490.935027000030000,-691424.885989999980000
17632,0,f25_160226,271,144,-576491.067875999960000,-691426.338962999990000
17633,0,f25_160226,271,144,-576491.375076000000000,-691427.436677000020000
17634,0,f25_160226,271,144,-576491.103241999980000,-691428.421502999960000
17635,0,f25_160226,271,144,-576491.236187999950000,-691429.874471000050000
17636,0,f25_160226,271,144,-576491.041225999940000,-691431.133721000050000
17637,0,f25_160226,271,144,-576491.174076000000000,-691432.586694000060000
17638,0,f25_160226,271,144,-576491.055897000010000,-691434.120490000000000
17639,0,f25_160226,271,144,-576491.112060999960000,-691435.298911000020000
17640,0,f25_160226,271,144,-576491.168135000040000,-691436.477454000040000
17641,0,f25_160226,271,144,-576491.126723999970000,-691438.285564000020000
17642,0,f25_160226,271,144,-576490.931769000020000,-691439.544928999970000
17643,0,f25_160226,271,144,-576490.408911000010000,-691440.610694000030000
17644,0,f25_160226,271,144,-576490.388201999940000,-691441.514690999990000
17645,0,f25_160226,271,144,-576489.865345000060000,-691442.580456000050000
17646,0,f25_160226,271,144,-576489.670382000040000,-691443.839705000050000
17647,0,f25_160226,271,144,-576489.475425999960000,-691445.099071000000000
17648,0,f25_160226,271,144,-576489.608276000010000,-691446.552043000000000
17649,0,f25_160226,271,144,-576489.992243999960000,-691447.924069999950000
17650,0,f25_160226,271,144,-576490.801601000010000,-691448.860131999940000
17651,0,f25_160226,271,144,-576491.959561000000000,-691449.085681000030000
17652,0,f25_160226,271,144,-576492.963880000050000,-691448.762493000020000
17653,0,f25_160226,271,144,-576493.486737999950000,-691447.696727999950000
17654,0,f25_160226,271,144,-576493.604923999980000,-691446.163048999970000
17655,0,f25_160226,271,144,-576493.548850000020000,-691444.984506999960000
17656,0,f25_160226,271,144,-576493.820580999950000,-691443.999570999990000
17657,0,f25_160226,271,144,-576493.764514000040000,-691442.821144000050000
17658,0,f25_160226,271,144,-576493.882693000020000,-691441.287348999990000
17659,0,f25_160226,271,144,-576493.903395000030000,-691440.383235999970000
17660,0,f25_160226,271,144,-576493.770454999990000,-691438.930385999960000
17661,0,f25_160226,271,144,-576493.560732000040000,-691437.202989000010000
17662,0,f25_160226,271,144,-576493.504665000010000,-691436.024561999950000
17663,0,f25_160226,271,144,-576493.371814999960000,-691434.571589000060000
