ORIG_FID,POINT_X,POINT_Y,Area
1,-607382.2309,-650009.0654,1056
1,-607383.5588,-650010.1097,1056
1,-607384.8173,-650010.889,1056
1,-607385.8321,-650011.7394,1056
1,-607386.7065,-650012.0589,1056
1,-607387.5811,-650012.3785,1056
1,-607388.6301,-650012.3619,1056
1,-607389.8534,-650012.0089,1056
1,-607391.1805,-650011.0538,1056
1,-607391.5286,-650010.381,1056
1,-607392.4371,-650009.8327,1056
1,-607393.4164,-650009.5499,1056
1,-607394.5702,-650008.9307,1056
1,-607395.8273,-650007.7092,1056
1,-607396.6655,-650006.8947,1056
1,-607397.9229,-650005.6728,1056
1,-607398.9352,-650004.5218,1056
1,-607400.0188,-650003.6362,1056
1,-607400.9602,-650002.2195,1056
1,-607401.7275,-650001.1392,1056
1,-607402.566,-650000.3244,1056
1,-607403.65,-649999.4384,1056
1,-607404.7341,-649998.5524,1056
1,-607405.9922,-649997.3296,1056
1,-607406.7286,-649997.1163,1056
1,-607407.4961,-649996.0358,1056
1,-607408.5091,-649994.884,1056
1,-607409.7678,-649993.6609,1056
1,-607410.2899,-649992.6515,1056
1,-607411.2837,-649991.5031,1056
1,-607412.0342,-649990.4259,1056
1,-607412.542,-649989.4198,1056
1,-607412.9763,-649988.1496,1056
1,-607413.3369,-649986.6157,1056
1,-607413.3817,-649984.8892,1056
1,-607413.1843,-649983.2346,1056
1,-607412.7448,-649981.6518,1056
1,-607412.3055,-649980.07,1056
1,-607410.9944,-649978.1744,1056
1,-607409.9035,-649977.07,1056
1,-607408.9589,-649976.4922,1056
1,-607407.5312,-649976.0557,1056
1,-607405.4512,-649976.0938,1056
1,-607403.7827,-649975.728,1056
1,-607402.1873,-649975.6252,1056
1,-607400.6646,-649975.7852,1056
1,-607399.3839,-649975.8747,1056
2,-607359.4049,-649994.9311,1140
2,-607358.2017,-649995.2818,1140
2,-607357.9613,-649995.3519,1140
2,-607357.0681,-649995.8957,1140
2,-607355.9343,-649996.5095,1140
2,-607354.8688,-649997.3871,1140
2,-607354.0436,-649998.1946,1140
2,-607353.0815,-649998.4752,1140
2,-607351.6025,-649999.757,1140
2,-607350.2955,-650000.7054,1140
2,-607349.4696,-650001.5136,1140
2,-607348.8835,-650002.2519,1140
2,-607347.9843,-650002.7974,1140
2,-607346.9112,-650003.6772,1140
2,-607346.0798,-650004.4865,1140
2,-607345.2486,-650005.2957,1140
2,-607344.0409,-650005.6473,1140
2,-607343.0748,-650005.9285,1140
2,-607342.3789,-650007.2652,1140
2,-607342.1659,-650008.4613,1140
2,-607342.3293,-650010.1152,1140
2,-607342.4929,-650011.7694,1140
2,-607342.6954,-650012.5615,1140
2,-607343.0329,-650013.8817,1140
2,-607343.3705,-650015.2023,1140
2,-607344.3307,-650016.9122,1140
2,-607344.672,-650018.2344,1140
2,-607345.0136,-650019.5572,1140
2,-607345.597,-650020.8103,1140
2,-607346.2856,-650021.4644,1140
2,-607346.9379,-650022.9833,1140
2,-607347.5905,-650024.503,1140
2,-607348.1064,-650025.4931,1140
2,-607348.6911,-650026.7489,1140
2,-607349.1025,-650028.3405,1140
2,-607349.3083,-650029.1366,1140
2,-607349.8935,-650030.3938,1140
2,-607350.7212,-650031.5816,1140
2,-607351.1696,-650032.3085,1140
2,-607352.0666,-650033.7628,1140
2,-607352.4466,-650034.2244,1140
2,-607353.0331,-650035.4839,1140
2,-607353.3084,-650036.5479,1140
2,-607354.2067,-650038.0045,1140
2,-607354.7939,-650039.2656,1140
2,-607355.0697,-650040.3308,1140
2,-607355.3456,-650041.3964,1140
2,-607355.6906,-650042.7288,1140
2,-607356.2094,-650043.7252,1140
2,-607357.319,-650043.9787,1140
2,-607358.5335,-650043.6289,1140
2,-607359.436,-650043.0822,1140
2,-607360.6861,-650041.8623,1140
2,-607361.5194,-650041.049,1140
2,-607362.1098,-650040.3058,1140
2,-607363.6027,-650039.0157,1140
2,-607364.4361,-650038.2025,1140
2,-607365.5125,-650037.3192,1140
2,-607366.5888,-650036.4358,1140
2,-607367.3527,-650035.3562,1140
2,-607368.4985,-650034.7391,1140
2,-607369.2623,-650033.6597,1140
2,-607370.0956,-650032.8464,1140
2,-607370.6857,-650032.1034,1140
2,-607371.7621,-650031.22,1140
2,-607372.5256,-650030.1408,1140
2,-607373.7753,-650028.921,1140
2,-607374.5424,-650027.843,1140
2,-607375.5553,-650026.6952,1140
2,-607376.3934,-650025.8833,1140
2,-607377.1622,-650024.8053,1140
2,-607378.2448,-650023.9231,1140
2,-607379.2221,-650023.6424,1140
2,-607381.283,-650022.479,1140
2,-607382.436,-650021.8621,1140
2,-607384.009,-650020.8383,1140
2,-607385.3379,-650019.8846,1140
2,-607386.1775,-650019.0714,1140
2,-607385.8293,-650017.742,1140
2,-607384.9222,-650016.2879,1140
2,-607383.9797,-650015.7022,1140
2,-607382.9681,-650014.8509,1140
2,-607381.5736,-650013.5396,1140
2,-607380.6323,-650012.9546,1140
2,-607379.6897,-650012.3699,1140
2,-607378.6774,-650011.5201,1140
2,-607377.7357,-650010.936,1140
2,-607376.7943,-650010.3521,1140
2,-607375.6437,-650008.9736,1140
