FID,Id,name,area,ORIG_FID,POINT_X,POINT_Y
33,0,f1_perimeter,986,0,-576485.6452,-691338.5439
34,0,f1_perimeter,986,0,-576484.7186,-691338.7919
35,0,f1_perimeter,986,0,-576483.7921,-691339.0397
36,0,f1_perimeter,986,0,-576483.1458,-691339.6429
37,0,f1_perimeter,986,0,-576482.0339,-691339.9404
38,0,f1_perimeter,986,0,-576481.3402,-691340.3411
39,0,f1_perimeter,986,0,-576480.4137,-691340.589
40,0,f1_perimeter,986,0,-576480.3277,-691341.9027
41,0,f1_perimeter,986,0,-576480.4701,-691342.5099
42,0,f1_perimeter,986,0,-576480.7072,-691343.522
43,0,f1_perimeter,986,0,-576481.0393,-691344.939
44,0,f1_perimeter,986,0,-576481.2765,-691345.9512
45,0,f1_perimeter,986,0,-576481.5137,-691346.9632
46,0,f1_perimeter,986,0,-576481.7509,-691347.9753
47,0,f1_perimeter,986,0,-576481.9881,-691348.9875
48,0,f1_perimeter,986,0,-576482.2252,-691349.9995
49,0,f1_perimeter,986,0,-576482.4625,-691351.0117
50,0,f1_perimeter,986,0,-576482.6997,-691352.0238
51,0,f1_perimeter,986,0,-576483.0747,-691352.7838
52,0,f1_perimeter,986,0,-576483.2644,-691353.5936
53,0,f1_perimeter,986,0,-576483.5491,-691354.8081
54,0,f1_perimeter,986,0,-576483.7389,-691355.6177
55,0,f1_perimeter,986,0,-576483.976,-691356.6299
56,0,f1_perimeter,986,0,-576484.2132,-691357.642
57,0,f1_perimeter,986,0,-576484.3555,-691358.2493
58,0,f1_perimeter,986,0,-576484.5927,-691359.2613
59,0,f1_perimeter,986,0,-576484.7824,-691360.071
60,0,f1_perimeter,986,0,-576485.0197,-691361.0832
61,0,f1_perimeter,986,0,-576485.2568,-691362.0952
62,0,f1_perimeter,986,0,-576485.7267,-691363.2602
63,0,f1_perimeter,986,0,-576486.1018,-691364.0203
64,0,f1_perimeter,986,0,-576486.5717,-691365.1853
65,0,f1_perimeter,986,0,-576486.714,-691365.7925
66,0,f1_perimeter,986,0,-576486.9513,-691366.8046
67,0,f1_perimeter,986,0,-576487.3737,-691367.7672
68,0,f1_perimeter,986,0,-576487.7488,-691368.5272
69,0,f1_perimeter,986,0,-576488.1713,-691369.4897
70,0,f1_perimeter,986,0,-576488.3136,-691370.097
71,0,f1_perimeter,986,0,-576488.9214,-691371.0099
72,0,f1_perimeter,986,0,-576489.5721,-691371.266
73,0,f1_perimeter,986,0,-576490.4082,-691371.4726
74,0,f1_perimeter,986,0,-576491.3347,-691371.2248
75,0,f1_perimeter,986,0,-576492.076,-691371.0265
76,0,f1_perimeter,986,0,-576493.373,-691370.6794
77,0,f1_perimeter,986,0,-576494.0668,-691370.2786
78,0,f1_perimeter,986,0,-576494.9459,-691369.8283
79,0,f1_perimeter,986,0,-576495.6871,-691369.63
80,0,f1_perimeter,986,0,-576496.5662,-691369.1797
81,0,f1_perimeter,986,0,-576497.0272,-691368.6261
82,0,f1_perimeter,986,0,-576498.0441,-691367.9237
83,0,f1_perimeter,986,0,-576498.5052,-691367.3702
84,0,f1_perimeter,986,0,-576499.1989,-691366.9694
85,0,f1_perimeter,986,0,-576499.9831,-691366.1143
86,0,f1_perimeter,986,0,-576500.582,-691365.3087
87,0,f1_perimeter,986,0,-576501.043,-691364.7551
88,0,f1_perimeter,986,0,-576501.4566,-691363.9992
89,0,f1_perimeter,986,0,-576502.2408,-691363.144
90,0,f1_perimeter,986,0,-576502.9346,-691362.7432
91,0,f1_perimeter,986,0,-576503.5808,-691362.14
92,0,f1_perimeter,986,0,-576504.6452,-691361.6402
93,0,f1_perimeter,986,0,-576505.6147,-691360.7354
94,0,f1_perimeter,986,0,-576506.1232,-691360.3842
95,0,f1_perimeter,986,0,-576506.9548,-691359.7315
96,0,f1_perimeter,986,0,-576507.9717,-691359.0293
97,0,f1_perimeter,986,0,-576508.7129,-691358.8309
98,0,f1_perimeter,986,0,-576509.592,-691358.3806
99,0,f1_perimeter,986,0,-576510.7038,-691358.0831
100,0,f1_perimeter,986,0,-576511.2597,-691357.9344
101,0,f1_perimeter,986,0,-576512.3716,-691357.6369
102,0,f1_perimeter,986,0,-576513.6686,-691357.2899
103,0,f1_perimeter,986,0,-576514.5951,-691357.0419
104,0,f1_perimeter,986,0,-576515.3363,-691356.8436
105,0,f1_perimeter,986,0,-576516.0776,-691356.6453
106,0,f1_perimeter,986,0,-576516.9136,-691356.8519
107,0,f1_perimeter,986,0,-576517.6118,-691357.3104
108,0,f1_perimeter,986,0,-576518.4953,-691357.7194
109,0,f1_perimeter,986,0,-576519.4219,-691357.4714
110,0,f1_perimeter,986,0,-576519.8354,-691356.7154
111,0,f1_perimeter,986,0,-576519.7836,-691355.6537
112,0,f1_perimeter,986,0,-576519.6412,-691355.0465
113,0,f1_perimeter,986,0,-576519.3566,-691353.832
114,0,f1_perimeter,986,0,-576519.072,-691352.6174
115,0,f1_perimeter,986,0,-576518.8348,-691351.6054
116,0,f1_perimeter,986,0,-576518.5976,-691350.5932
117,0,f1_perimeter,986,0,-576518.313,-691349.3787
118,0,f1_perimeter,986,0,-576518.1232,-691348.569
119,0,f1_perimeter,986,0,-576517.8386,-691347.3545
120,0,f1_perimeter,986,0,-576517.6488,-691346.5448
121,0,f1_perimeter,986,0,-576517.4117,-691345.5326
122,0,f1_perimeter,986,0,-576517.2219,-691344.723
123,0,f1_perimeter,986,0,-576516.9847,-691343.7109
124,0,f1_perimeter,986,0,-576516.8424,-691343.1036
125,0,f1_perimeter,986,0,-576516.6052,-691342.0915
