FID,Id,area,ORIG_FID,POINT_X,POINT_Y
100,0,1056,1,-607381.253159999960000,-649986.569032000030000
101,0,1056,1,-607379.793045000060000,-649986.995329999950000
102,0,1056,1,-607378.333407000060000,-649987.421481000030000
103,0,1056,1,-607376.804617000050000,-649987.584015000030000
104,0,1056,1,-607376.248604999970000,-649987.462584999970000
105,0,1056,1,-607374.754734999970000,-649986.764058999950000
106,0,1056,1,-607374.442120000020000,-649986.571771000050000
107,0,1056,1,-607373.677875999940000,-649985.660937999960000
108,0,1056,1,-607372.914040999950000,-649984.750428000000000
109,0,1056,1,-607371.872547999960000,-649982.788661999980000
110,0,1056,1,-607371.282683999980000,-649981.545440000020000
111,0,1056,1,-607370.519933999980000,-649980.636722999970000
112,0,1056,1,-607369.757592999960000,-649979.728328999950000
113,0,1056,1,-607369.064944999990000,-649979.082933999950000
114,0,1056,1,-607368.580216999980000,-649979.225100000040000
115,0,1056,1,-607368.130270999970000,-649980.488417000040000
116,0,1056,1,-607367.576483999960000,-649982.348231000010000
117,0,1056,1,-607367.161032999980000,-649982.752958000060000
118,0,1056,1,-607366.537798000030000,-649984.350571000020000
119,0,1056,1,-607365.914481000040000,-649985.948422000040000
120,0,1056,1,-607365.395003000040000,-649986.949774999990000
121,0,1056,1,-607365.013848999980000,-649988.477196000050000
122,0,1056,1,-607364.736625000020000,-649989.407997000030000
123,0,1056,1,-607364.770862999950000,-649990.531275999970000
124,0,1056,1,-607365.047545999990000,-649991.583990999960000
125,0,1056,1,-607365.393581000040000,-649992.900426000010000
126,0,1056,1,-607365.739653000030000,-649994.217441000040000
127,0,1056,1,-607366.571219000030000,-649995.393637000000000
128,0,1056,1,-607367.021786000000000,-649996.113761999990000
129,0,1056,1,-607367.784639999970000,-649997.027128000050000
130,0,1056,1,-607369.241948000040000,-649998.591359999960000
131,0,1056,1,-607369.936284000050000,-649999.241883000010000
132,0,1056,1,-607370.769968000010000,-650000.420853000020000
133,0,1056,1,-607372.020843000030000,-650001.194983999940000
134,0,1056,1,-607372.785890000060000,-650002.110770000030000
135,0,1056,1,-607374.177460000040000,-650003.414656999990000
136,0,1056,1,-607374.873661000050000,-650004.067038999990000
137,0,1056,1,-607375.883473000020000,-650004.913625000040000
138,0,1056,1,-607377.067502000020000,-650005.425272000020000
139,0,1056,1,-607377.451013999990000,-650005.884207000020000
140,0,1056,1,-607378.392143000030000,-650006.466912999980000
141,0,1056,1,-607379.403693999980000,-650007.314898999990000
142,0,1056,1,-607380.415846999970000,-650008.163197000050000
143,0,1056,1,-607381.602299000020000,-650008.676316999950000
144,0,1056,1,-607382.230926000050000,-650009.065447999980000
145,0,1056,1,-607383.558838000060000,-650010.109672000050000
146,0,1056,1,-607384.817323999950000,-650010.889016999980000
147,0,1056,1,-607385.832131000000000,-650011.739354999970000
148,0,1056,1,-607386.706465999950000,-650012.058874999990000
149,0,1056,1,-607387.581098000050000,-650012.378493000050000
150,0,1056,1,-607388.630058999990000,-650012.361884000010000
151,0,1056,1,-607389.853436999950000,-650012.008928000000000
152,0,1056,1,-607391.180484000010000,-650011.053780999970000
153,0,1056,1,-607391.528635000000000,-650010.381013000030000
154,0,1056,1,-607392.437064999950000,-650009.832658999950000
155,0,1056,1,-607393.416421000030000,-650009.549902000000000
156,0,1056,1,-607394.570186999980000,-650008.930681000000000
157,0,1056,1,-607395.827323999950000,-650007.709172999950000
158,0,1056,1,-607396.665472000020000,-650006.894714999940000
159,0,1056,1,-607397.922876000060000,-650005.672840000010000
160,0,1056,1,-607398.935232999970000,-650004.521812999970000
161,0,1056,1,-607400.018798999950000,-650003.636248999970000
162,0,1056,1,-607400.960221000020000,-650002.219508999960000
163,0,1056,1,-607401.727522999980000,-650001.139213999970000
164,0,1056,1,-607402.566034000020000,-650000.324382000020000
165,0,1056,1,-607403.649962999970000,-649999.438444999980000
166,0,1056,1,-607404.734077999950000,-649998.552380000010000
167,0,1056,1,-607405.992200999990000,-649997.329643000030000
168,0,1056,1,-607406.728553000020000,-649997.116322000050000
169,0,1056,1,-607407.496127999970000,-649996.035776000000000
170,0,1056,1,-607408.509115000020000,-649994.884009000030000
171,0,1056,1,-607409.767793999980000,-649993.660887000030000
172,0,1056,1,-607410.289853999970000,-649992.651452000020000
173,0,1056,1,-607411.283658999950000,-649991.503123000030000
174,0,1056,1,-607412.034178999950000,-649990.425878999990000
175,0,1056,1,-607412.542001000020000,-649989.419799000020000
176,0,1056,1,-607412.976270999990000,-649988.149570000010000
177,0,1056,1,-607413.336923999940000,-649986.615661000020000
