FID,Id,ORIG_FID,POINT_X,POINT_Y
180,0,26,-561507.277307000010000,-696918.289207999940000
181,0,26,-561501.131804000000000,-696914.746174999980000
182,0,27,-561451.814602999950000,-696919.678162000030000
183,0,27,-561447.289711000050000,-696921.053266000000000
184,0,27,-561456.900941999980000,-696926.514663000010000
185,0,27,-561457.405212000010000,-696922.523062000050000
186,0,27,-561451.814602999950000,-696919.678162000030000
187,0,28,-561655.847090999950000,-696870.366648999970000
188,0,28,-561648.496171999960000,-696873.151766999970000
189,0,28,-561652.922086999980000,-696880.462053000000000
190,0,28,-561658.231907999960000,-696878.065655000040000
191,0,28,-561655.847090999950000,-696870.366648999970000
192,0,29,-561637.749588000010000,-696915.535171000050000
193,0,29,-561629.044720000010000,-696918.055710999990000
194,0,29,-561623.990919000000000,-696917.232746000050000
195,0,29,-561621.361724999970000,-696922.346045000010000
196,0,29,-561624.351309000050000,-696925.046637000050000
197,0,29,-561633.087521999960000,-696926.819301999990000
198,0,29,-561641.830923000000000,-696920.937393000000000
199,0,29,-561637.749588000010000,-696915.535171000050000
200,0,30,-561532.269050000000000,-696930.873315999980000
201,0,30,-561528.935737999970000,-696933.685841999950000
202,0,30,-561529.091558999960000,-696935.473995000010000
203,0,30,-561531.140326000050000,-696938.637570000020000
204,0,30,-561527.275316999990000,-696941.678734999960000
205,0,30,-561529.161265000000000,-696945.250526000050000
206,0,30,-561543.176475999990000,-696941.919538000020000
207,0,30,-561540.501337999940000,-696934.826155000020000
208,0,30,-561532.897484999960000,-696931.267011999970000
209,0,30,-561532.269050000000000,-696930.873315999980000
210,0,31,-573799.927647999950000,-692110.674587000040000
211,0,31,-573795.565345000010000,-692108.006618999990000
212,0,31,-573786.028774000010000,-692110.732762000060000
213,0,31,-573782.245670999980000,-692121.336495000050000
214,0,31,-573793.139933999980000,-692120.933207000020000
215,0,31,-573796.194297999960000,-692117.049668999970000
216,0,31,-573800.547862999960000,-692116.315045999950000
217,0,31,-573799.927647999950000,-692110.674587000040000
218,0,32,-573797.718950000010000,-692121.627495000020000
219,0,32,-573781.393507999950000,-692123.928031999970000
220,0,32,-573778.721999999950000,-692136.704443000020000
221,0,32,-573781.909891000020000,-692137.427968999950000
222,0,32,-573791.950313000010000,-692134.377463000010000
223,0,32,-573797.919507000010000,-692128.790173999970000
224,0,32,-573797.718950000010000,-692121.627495000020000
225,0,33,-573797.613345999970000,-692134.416789000040000
226,0,33,-573779.268588999980000,-692139.241309999950000
227,0,33,-573779.378304000010000,-692148.508221999970000
228,0,33,-573797.072558999990000,-692144.818185999990000
229,0,33,-573797.613345999970000,-692134.416789000040000
230,0,34,-573797.577894999990000,-692146.326447000030000
231,0,34,-573777.488036999940000,-692150.396146000010000
232,0,34,-573778.611615999950000,-692156.450805000030000
233,0,34,-573797.679667999970000,-692153.218326000030000
